[0.022s] Invoking command in '/home/oscar/robotino_ros2_ws/build/rto_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/oscar/control_ws/install/pose_controller:/home/oscar/ws_moveit2/install/moveit_configs_utils:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/oscar/robotino_ros2_ws/build/rto_description -- -j8 -l8
[0.103s] Invoked command in '/home/oscar/robotino_ros2_ws/build/rto_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/oscar/control_ws/install/pose_controller:/home/oscar/ws_moveit2/install/moveit_configs_utils:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/oscar/robotino_ros2_ws/build/rto_description -- -j8 -l8
[0.119s] Invoking command in '/home/oscar/robotino_ros2_ws/build/rto_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/oscar/control_ws/install/pose_controller:/home/oscar/ws_moveit2/install/moveit_configs_utils:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/oscar/robotino_ros2_ws/build/rto_description
[0.131s] -- Install configuration: ""
[0.136s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/robots/robotino_ros2control.xacro
[0.136s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/sensors/3dsensor_gazebo.urdf.xacro
[0.136s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/sensors/Sharp_IR_Sensor.urdf.xacro
[0.137s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/sensors/asus_xtion_pro.urdf.xacro
[0.137s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/sensors/camera.urdf.xacro
[0.137s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/sensors/hokuyo.urdf.xacro
[0.138s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/urdf/sensors/kinect.urdf.xacro
[0.138s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/parts/angle_bracket_usb_hub.dae
[0.138s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/parts/front.png
[0.139s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/parts/panel.png
[0.139s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/parts/robotino_base.dae
[0.139s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/parts/robotino_wheel.dae
[0.139s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/sensors/Sharp_IR_Sensor_GP2Y0A41SK0F.dae
[0.140s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/sensors/asus_xtion_pro_live.dae
[0.140s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/sensors/asus_xtion_pro_live.png
[0.140s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/sensors/camera.dae
[0.140s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/sensors/hokuyo.dae
[0.141s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/sensors/kinect.dae
[0.141s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/sensors/kinect.jpg
[0.141s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/sensors/kinect.tga
[0.142s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/meshes/sensors/robotparts.png
[0.142s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/rviz/robotino_description.rviz
[0.142s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/ament_index/resource_index/package_run_dependencies/rto_description
[0.143s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/ament_index/resource_index/parent_prefix_path/rto_description
[0.143s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/environment/ament_prefix_path.sh
[0.143s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/environment/ament_prefix_path.dsv
[0.143s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/environment/path.sh
[0.144s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/environment/path.dsv
[0.144s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/local_setup.bash
[0.144s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/local_setup.sh
[0.144s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/local_setup.zsh
[0.145s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/local_setup.dsv
[0.145s] -- Symlinking: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/package.dsv
[0.158s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/ament_index/resource_index/packages/rto_description
[0.158s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/cmake/rto_descriptionConfig.cmake
[0.158s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/cmake/rto_descriptionConfig-version.cmake
[0.159s] -- Up-to-date symlink: /home/oscar/robotino_ros2_ws/install/rto_description/share/rto_description/package.xml
[0.161s] Invoked command in '/home/oscar/robotino_ros2_ws/build/rto_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/oscar/control_ws/install/pose_controller:/home/oscar/ws_moveit2/install/moveit_configs_utils:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/oscar/robotino_ros2_ws/build/rto_description
